SEP=;
date_time_utc;date_time_local;core_temperature [C];temp_change_rate [C/h];quality [1(poor) to 4(excellent)];skin_temperature [C];heat_zone;heat_strain_index;heart_rate [bpm]
04.12.2024 15:00:00;05.12.2024 00:00:00;;;;21.28;;;
04.12.2024 15:01:00;05.12.2024 00:01:00;;;;21.28;;;
04.12.2024 15:02:00;05.12.2024 00:02:00;;;;21.27;;;
04.12.2024 15:03:00;05.12.2024 00:03:00;;;;21.27;;;
04.12.2024 15:04:00;05.12.2024 00:04:00;;;;21.26;;;
04.12.2024 15:05:00;05.12.2024 00:05:00;;;;21.26;;;
04.12.2024 15:06:00;05.12.2024 00:06:00;;;;21.26;;;
04.12.2024 15:07:00;05.12.2024 00:07:00;;;;21.25;;;
04.12.2024 15:08:00;05.12.2024 00:08:00;;;;21.25;;;
04.12.2024 15:09:00;05.12.2024 00:09:00;;;;21.25;;;
04.12.2024 15:10:00;05.12.2024 00:10:00;;;;21.24;;;
04.12.2024 15:11:00;05.12.2024 00:11:00;;;;21.24;;;
04.12.2024 15:12:00;05.12.2024 00:12:00;;;;21.23;;;
04.12.2024 15:13:00;05.12.2024 00:13:00;;;;21.23;;;
04.12.2024 15:14:00;05.12.2024 00:14:00;;;;21.22;;;
04.12.2024 15:15:00;05.12.2024 00:15:00;;;;21.22;;;
04.12.2024 15:16:00;05.12.2024 00:16:00;;;;21.21;;;
04.12.2024 15:17:00;05.12.2024 00:17:00;;;;21.21;;;
04.12.2024 15:18:00;05.12.2024 00:18:00;;;;21.21;;;
04.12.2024 15:19:00;05.12.2024 00:19:00;;;;21.2;;;
04.12.2024 15:20:00;05.12.2024 00:20:00;;;;21.2;;;
04.12.2024 15:21:00;05.12.2024 00:21:00;;;;21.2;;;
04.12.2024 15:22:00;05.12.2024 00:22:00;;;;21.2;;;
04.12.2024 15:23:00;05.12.2024 00:23:00;;;;21.19;;;
04.12.2024 15:24:00;05.12.2024 00:24:00;;;;21.19;;;
04.12.2024 15:25:00;05.12.2024 00:25:00;;;;21.19;;;
04.12.2024 15:26:00;05.12.2024 00:26:00;;;;21.18;;;
04.12.2024 15:27:00;05.12.2024 00:27:00;;;;21.18;;;
04.12.2024 15:28:00;05.12.2024 00:28:00;;;;21.18;;;
04.12.2024 15:29:00;05.12.2024 00:29:00;;;;21.17;;;
04.12.2024 15:30:00;05.12.2024 00:30:00;;;;21.17;;;
04.12.2024 15:31:00;05.12.2024 00:31:00;;;;21.17;;;
04.12.2024 15:32:00;05.12.2024 00:32:00;;;;21.17;;;
04.12.2024 15:33:00;05.12.2024 00:33:00;;;;21.16;;;
04.12.2024 15:34:00;05.12.2024 00:34:00;;;;21.16;;;
04.12.2024 15:35:00;05.12.2024 00:35:00;;;;21.16;;;
04.12.2024 15:36:00;05.12.2024 00:36:00;;;;21.15;;;
04.12.2024 15:37:00;05.12.2024 00:37:00;;;;21.15;;;
04.12.2024 15:38:00;05.12.2024 00:38:00;;;;21.14;;;
04.12.2024 15:39:00;05.12.2024 00:39:00;;;;21.14;;;
04.12.2024 15:40:00;05.12.2024 00:40:00;;;;21.14;;;
04.12.2024 15:41:00;05.12.2024 00:41:00;;;;21.14;;;
04.12.2024 15:42:00;05.12.2024 00:42:00;;;;21.13;;;
04.12.2024 15:43:00;05.12.2024 00:43:00;;;;21.13;;;
04.12.2024 15:44:00;05.12.2024 00:44:00;;;;21.13;;;
04.12.2024 15:45:00;05.12.2024 00:45:00;;;;21.14;;;
04.12.2024 15:46:00;05.12.2024 00:46:00;;;;21.14;;;
04.12.2024 15:47:00;05.12.2024 00:47:00;;;;21.15;;;
04.12.2024 15:48:00;05.12.2024 00:48:00;;;;21.15;;;
04.12.2024 15:49:00;05.12.2024 00:49:00;;;;21.15;;;
04.12.2024 15:50:00;05.12.2024 00:50:00;;;;21.16;;;
04.12.2024 15:51:00;05.12.2024 00:51:00;;;;21.16;;;
04.12.2024 15:52:00;05.12.2024 00:52:00;;;;21.16;;;
04.12.2024 15:53:00;05.12.2024 00:53:00;;;;21.15;;;
04.12.2024 15:54:00;05.12.2024 00:54:00;;;;21.15;;;
04.12.2024 15:55:00;05.12.2024 00:55:00;;;;21.15;;;
04.12.2024 15:56:00;05.12.2024 00:56:00;;;;21.14;;;
04.12.2024 15:57:00;05.12.2024 00:57:00;;;;21.14;;;
04.12.2024 15:58:00;05.12.2024 00:58:00;;;;21.14;;;
04.12.2024 15:59:00;05.12.2024 00:59:00;;;;21.13;;;
04.12.2024 16:00:00;05.12.2024 01:00:00;;;;21.13;;;
04.12.2024 16:01:00;05.12.2024 01:01:00;;;;21.12;;;
04.12.2024 16:02:00;05.12.2024 01:02:00;;;;21.12;;;
04.12.2024 16:03:00;05.12.2024 01:03:00;;;;21.11;;;
04.12.2024 16:04:00;05.12.2024 01:04:00;;;;21.11;;;
04.12.2024 16:05:00;05.12.2024 01:05:00;;;;21.11;;;
04.12.2024 16:06:00;05.12.2024 01:06:00;;;;21.11;;;
04.12.2024 16:07:00;05.12.2024 01:07:00;;;;21.1;;;
04.12.2024 16:08:00;05.12.2024 01:08:00;;;;21.1;;;
04.12.2024 16:09:00;05.12.2024 01:09:00;;;;21.1;;;
