SEP=;
date_time_utc;date_time_local;core_temperature [C];temp_change_rate [C/h];quality [1(poor) to 4(excellent)];skin_temperature [C];heat_zone;heat_strain_index;heart_rate [bpm]
13.01.2025 15:00:00;14.01.2025 00:00:00;;;;20.84;;;
13.01.2025 15:01:00;14.01.2025 00:01:00;;;;20.84;;;
13.01.2025 15:02:00;14.01.2025 00:02:00;;;;20.84;;;
13.01.2025 15:03:00;14.01.2025 00:03:00;;;;20.84;;;
13.01.2025 15:04:00;14.01.2025 00:04:00;;;;20.85;;;
13.01.2025 15:05:00;14.01.2025 00:05:00;37;;1;24.83;1;;
13.01.2025 15:06:00;14.01.2025 00:06:00;37;;1;27.68;1;;
13.01.2025 15:07:00;14.01.2025 00:07:00;37;;1;29.48;1;;
13.01.2025 15:08:00;14.01.2025 00:08:00;37;;1;30.58;1;;
13.01.2025 15:09:00;14.01.2025 00:09:00;37;;1;31.17;1;;
13.01.2025 15:10:00;14.01.2025 00:10:00;37;;1;31.82;1;;
13.01.2025 15:11:00;14.01.2025 00:11:00;37.13;;1;32;1;;
13.01.2025 15:12:00;14.01.2025 00:12:00;37.13;;1;32.21;1;;
13.01.2025 15:13:00;14.01.2025 00:13:00;37.16;;1;32.55;1;;
13.01.2025 15:21:00;14.01.2025 00:21:00;;;;29.28;;;
13.01.2025 15:22:00;14.01.2025 00:22:00;;;;29.06;;;
13.01.2025 15:23:00;14.01.2025 00:23:00;;;;28.89;;;
13.01.2025 15:24:00;14.01.2025 00:24:00;;;;28.74;;;
13.01.2025 15:25:00;14.01.2025 00:25:00;;;;28.57;;;
13.01.2025 15:26:00;14.01.2025 00:26:00;;;;28.37;;;
13.01.2025 15:27:00;14.01.2025 00:27:00;;;;28.2;;;
13.01.2025 15:28:00;14.01.2025 00:28:00;;;;28.04;;;
13.01.2025 15:29:00;14.01.2025 00:29:00;;;;27.9;;;
13.01.2025 15:30:00;14.01.2025 00:30:00;;;;27.78;;;
13.01.2025 15:31:00;14.01.2025 00:31:00;;;;27.67;;;
13.01.2025 15:32:00;14.01.2025 00:32:00;;;;27.56;;;
13.01.2025 15:33:00;14.01.2025 00:33:00;;;;27.47;;;
13.01.2025 15:34:00;14.01.2025 00:34:00;;;;27.4;;;
13.01.2025 15:35:00;14.01.2025 00:35:00;;;;27.34;;;
13.01.2025 15:36:00;14.01.2025 00:36:00;;;;27.3;;;
13.01.2025 15:37:00;14.01.2025 00:37:00;;;;27.25;;;
13.01.2025 15:38:00;14.01.2025 00:38:00;;;;27.22;;;
13.01.2025 15:39:00;14.01.2025 00:39:00;;;;27.18;;;
13.01.2025 15:40:00;14.01.2025 00:40:00;;;;27.14;;;
13.01.2025 15:41:00;14.01.2025 00:41:00;;;;27.11;;;
13.01.2025 15:42:00;14.01.2025 00:42:00;;;;27.08;;;
13.01.2025 15:43:00;14.01.2025 00:43:00;;;;27.04;;;
13.01.2025 15:44:00;14.01.2025 00:44:00;;;;27.01;;;
13.01.2025 15:45:00;14.01.2025 00:45:00;;;;26.98;;;
13.01.2025 15:46:00;14.01.2025 00:46:00;;;;26.96;;;
13.01.2025 15:47:00;14.01.2025 00:47:00;;;;26.95;;;
13.01.2025 15:48:00;14.01.2025 00:48:00;;;;26.94;;;
13.01.2025 15:49:00;14.01.2025 00:49:00;;;;26.93;;;
13.01.2025 15:50:00;14.01.2025 00:50:00;;;;26.92;;;
13.01.2025 15:51:00;14.01.2025 00:51:00;;;;26.91;;;
13.01.2025 15:52:00;14.01.2025 00:52:00;;;;26.92;;;
13.01.2025 15:53:00;14.01.2025 00:53:00;;;;26.85;;;
13.01.2025 15:54:00;14.01.2025 00:54:00;37.2;;1;30.05;1;;
13.01.2025 15:55:00;14.01.2025 00:55:00;37.2;;1;31.41;1;;
13.01.2025 15:56:00;14.01.2025 00:56:00;37.2;;1;32.13;1;;
13.01.2025 15:57:00;14.01.2025 00:57:00;37.2;0.06;2;32.63;1;;
13.01.2025 15:58:00;14.01.2025 00:58:00;37.2;0.36;3;33.06;1;;
13.01.2025 15:59:00;14.01.2025 00:59:00;37.21;0.3;3;33.31;1;;
13.01.2025 16:00:00;14.01.2025 01:00:00;37.22;0.6;3;33.45;1;;
13.01.2025 16:01:00;14.01.2025 01:01:00;37.23;0.6;3;33.6;1;;
13.01.2025 16:02:00;14.01.2025 01:02:00;37.24;0.6;3;33.8;1;;
13.01.2025 16:03:00;14.01.2025 01:03:00;37.24;0.36;4;33.99;1;;
13.01.2025 16:04:00;14.01.2025 01:04:00;37.24;0;4;34.14;1;;
13.01.2025 16:05:00;14.01.2025 01:05:00;37.24;0;4;34.28;1;;
13.01.2025 16:06:00;14.01.2025 01:06:00;37.24;-0.3;4;34.44;1;;
13.01.2025 16:07:00;14.01.2025 01:07:00;37.24;0.3;4;34.55;1;;
13.01.2025 16:08:00;14.01.2025 01:08:00;37.25;0.3;4;34.62;1;;
13.01.2025 16:09:00;14.01.2025 01:09:00;37.25;0;4;34.7;1;;
13.01.2025 16:10:00;14.01.2025 01:10:00;37.25;0;4;34.78;1;;
13.01.2025 16:11:00;14.01.2025 01:11:00;37.24;-0.6;4;34.92;1;;
13.01.2025 16:12:00;14.01.2025 01:12:00;37.23;-0.3;4;35.02;1;;
13.01.2025 16:13:00;14.01.2025 01:13:00;37.23;0;4;35.11;1;;
13.01.2025 16:14:00;14.01.2025 01:14:00;37.23;-0.3;4;35.18;1;;
13.01.2025 16:15:00;14.01.2025 01:15:00;37.22;-0.3;4;35.23;1;;
13.01.2025 16:16:00;14.01.2025 01:16:00;37.22;-0.3;4;35.27;1;;
13.01.2025 16:17:00;14.01.2025 01:17:00;37.22;0;4;35.32;1;;
13.01.2025 16:18:00;14.01.2025 01:18:00;37.21;-0.3;4;35.36;1;;
13.01.2025 16:19:00;14.01.2025 01:19:00;37.21;-0.3;4;35.35;1;;
13.01.2025 16:20:00;14.01.2025 01:20:00;37.2;-0.3;4;35.32;1;;
13.01.2025 16:21:00;14.01.2025 01:21:00;37.2;-0.3;4;35.38;1;;
13.01.2025 16:22:00;14.01.2025 01:22:00;37.2;0;4;35.39;1;;
13.01.2025 16:23:00;14.01.2025 01:23:00;37.19;-0.3;4;35.37;1;;
13.01.2025 16:24:00;14.01.2025 01:24:00;37.19;0;4;35.32;1;;
13.01.2025 16:25:00;14.01.2025 01:25:00;37.19;0;4;35.3;1;;
13.01.2025 16:26:00;14.01.2025 01:26:00;37.19;0;4;35.28;1;;
13.01.2025 16:27:00;14.01.2025 01:27:00;37.2;0.3;4;35.3;1;;
13.01.2025 16:28:00;14.01.2025 01:28:00;37.2;0;4;35.29;1;;
13.01.2025 16:29:00;14.01.2025 01:29:00;37.2;0.3;4;35.25;1;;
13.01.2025 16:30:00;14.01.2025 01:30:00;37.2;0;4;35.25;1;;
13.01.2025 16:31:00;14.01.2025 01:31:00;37.21;0.3;4;35.21;1;;
13.01.2025 16:32:00;14.01.2025 01:32:00;37.21;0;4;35.14;1;;
13.01.2025 16:33:00;14.01.2025 01:33:00;37.21;0.3;4;35.14;1;;
13.01.2025 16:34:00;14.01.2025 01:34:00;37.21;-0.3;4;35.22;1;;
13.01.2025 16:35:00;14.01.2025 01:35:00;37.21;0;4;35.34;1;;
13.01.2025 16:36:00;14.01.2025 01:36:00;37.2;-0.3;4;35.46;1;;
13.01.2025 16:37:00;14.01.2025 01:37:00;37.2;-0.3;4;35.44;1;;
13.01.2025 16:38:00;14.01.2025 01:38:00;37.2;0;4;35.34;1;;
13.01.2025 16:39:00;14.01.2025 01:39:00;37.19;-0.3;4;35.22;1;;
13.01.2025 16:40:00;14.01.2025 01:40:00;37.19;0;4;35.11;1;;
13.01.2025 16:41:00;14.01.2025 01:41:00;37.19;-0.3;4;35;1;;
13.01.2025 16:42:00;14.01.2025 01:42:00;37.19;0;4;34.91;1;;
13.01.2025 16:43:00;14.01.2025 01:43:00;37.18;-0.3;4;34.82;1;;
13.01.2025 16:44:00;14.01.2025 01:44:00;37.18;-0.3;4;34.74;1;;
13.01.2025 16:45:00;14.01.2025 01:45:00;37.18;0;4;34.57;1;;
13.01.2025 16:46:00;14.01.2025 01:46:00;37.16;-1.2;4;34.62;1;;
13.01.2025 16:47:00;14.01.2025 01:47:00;37.15;-0.3;4;34.88;1;;
13.01.2025 16:48:00;14.01.2025 01:48:00;37.15;-0.3;4;34.92;1;;
