SEP=;
date_time_utc;date_time_local;core_temperature [C];temp_change_rate [C/h];quality [1(poor) to 4(excellent)];skin_temperature [C];heat_zone;heat_strain_index;heart_rate [bpm]
15.01.2025 15:00:00;16.01.2025 00:00:00;;;;25.27;;;
15.01.2025 15:01:00;16.01.2025 00:01:00;;;;24.74;;;
15.01.2025 15:02:00;16.01.2025 00:02:00;;;;24.28;;;
15.01.2025 15:03:00;16.01.2025 00:03:00;;;;23.87;;;
15.01.2025 15:04:00;16.01.2025 00:04:00;;;;23.5;;;
15.01.2025 15:05:00;16.01.2025 00:05:00;;;;23.18;;;
15.01.2025 15:06:00;16.01.2025 00:06:00;;;;22.89;;;
15.01.2025 15:07:00;16.01.2025 00:07:00;;;;22.64;;;
15.01.2025 15:08:00;16.01.2025 00:08:00;;;;22.42;;;
15.01.2025 15:09:00;16.01.2025 00:09:00;;;;22.21;;;
15.01.2025 15:10:00;16.01.2025 00:10:00;;;;22.03;;;
15.01.2025 15:11:00;16.01.2025 00:11:00;;;;21.87;;;
15.01.2025 15:12:00;16.01.2025 00:12:00;;;;21.72;;;
15.01.2025 15:13:00;16.01.2025 00:13:00;;;;21.6;;;
15.01.2025 15:14:00;16.01.2025 00:14:00;;;;21.49;;;
15.01.2025 15:15:00;16.01.2025 00:15:00;;;;21.38;;;
15.01.2025 15:16:00;16.01.2025 00:16:00;;;;21.29;;;
15.01.2025 15:17:00;16.01.2025 00:17:00;;;;21.2;;;
15.01.2025 15:18:00;16.01.2025 00:18:00;;;;21.13;;;
15.01.2025 15:19:00;16.01.2025 00:19:00;;;;21.07;;;
15.01.2025 15:20:00;16.01.2025 00:20:00;;;;21.01;;;
15.01.2025 15:21:00;16.01.2025 00:21:00;;;;20.95;;;
15.01.2025 15:22:00;16.01.2025 00:22:00;;;;20.9;;;
15.01.2025 15:23:00;16.01.2025 00:23:00;;;;20.86;;;
15.01.2025 15:24:00;16.01.2025 00:24:00;;;;20.83;;;
15.01.2025 15:25:00;16.01.2025 00:25:00;;;;20.79;;;
